whois_id,character_id,character_name,slug,descriptor,status,text_path,html_path,has_raw_text,has_raw_html,has_raw_decho,parse_confidence,notes
whois_hovado_1780911768,char_hovado,Hovado,hovado,Tarkhnarb Battlemaster,Retired,data/evidence/whois/text/hovado.txt,data/evidence/whois/html/hovado.html,yes,no,no,medium,query_name=Hovado | display_name=Hovado the Orkish Battlemaster | epithet_or_title=the Orkish Battlemaster
whois_hrym_1780911791,char_hrym,Hrym,hrym,Maia,,data/evidence/whois/text/hrym.txt,data/evidence/whois/html/hrym.html,yes,no,no,medium,query_name=Hrym | display_name=Hrym
whois_hudson_1780911796,char_hudson,Hudson,hudson,Hobbit,Retired,data/evidence/whois/text/hudson.txt,data/evidence/whois/html/hudson.html,yes,no,no,medium,"query_name=Hudson | display_name=Hudson Hawk | epithet_or_title=Hawk | Last login 21 years, 2 months, and 22 days ago."
whois_hugo_1780911802,char_hugo,Hugo,hugo,Dwarf,Retired,data/evidence/whois/text/hugo.txt,data/evidence/whois/html/hugo.html,yes,no,no,medium,"query_name=Hugo | display_name=Hugo Boss the Orcslayer | epithet_or_title=Boss the Orcslayer | Last login 12 years, 9 months, and 23 days ago."
whois_huher_1780911808,char_huher,Huher,huher,Dwarven Battlemaster,Retired,data/evidence/whois/text/huher.txt,data/evidence/whois/html/huher.html,yes,no,no,medium,"query_name=Huher | display_name=Huher the H | epithet_or_title=the H | Last login 20 years, 4 months, and 28 days ago from *.com."
whois_hunchback_1780911819,char_hunchback,Hunchback,hunchback,Hill Troll Fighter,Retired,data/evidence/whois/text/hunchback.txt,data/evidence/whois/html/hunchback.html,yes,no,no,medium,query_name=Hunchback | display_name=Hunchback of Notre Dame | epithet_or_title=of Notre Dame
whois_hwarang_1780911830,char_hwarang,Hwarang,hwarang,Tarkhnarb Champion,Retired,data/evidence/whois/text/hwarang.txt,data/evidence/whois/html/hwarang.html,yes,no,no,medium,query_name=Hwarang | display_name=Hwarang
whois_hwoarang_1780911836,char_hwoarang,Hwoarang,hwoarang,Man,Retired,data/evidence/whois/text/hwoarang.txt,data/evidence/whois/html/hwoarang.html,yes,no,no,medium,query_name=Hwoarang | display_name=Hwoarang
whois_hybrid_1780911842,char_hybrid,Hybrid,hybrid,Mountain Troll Warrior,Retired,data/evidence/whois/text/hybrid.txt,data/evidence/whois/html/hybrid.html,yes,no,no,medium,query_name=Hybrid | display_name=Hybrid
whois_ibis_1780911859,char_ibis,Ibis,ibis,Dwarf,Retired,data/evidence/whois/text/ibis.txt,data/evidence/whois/html/ibis.html,yes,no,no,medium,"query_name=Ibis | display_name=Ibis The Lonely Wolf | epithet_or_title=The Lonely Wolf | Last login 17 years, 2 months, and 13 days ago."
whois_ibrahim_1780911870,char_ibrahim,Ibrahim,ibrahim,Dwarven Axemaster,,data/evidence/whois/text/ibrahim.txt,data/evidence/whois/html/ibrahim.html,yes,no,no,medium,"query_name=Ibrahim | display_name=Ibrahim Moizoos | epithet_or_title=Moizoos | Last login 3 years, 8 months, and 12 days ago from *.net."
whois_ickabod_1780911875,char_ickabod,Ickabod,ickabod,Black Númenórean Mercenary,Retired,data/evidence/whois/text/ickabod.txt,data/evidence/whois/html/ickabod.html,yes,no,no,medium,query_name=Ickabod | display_name=Ickabod Krane | epithet_or_title=Krane
