character_id,character_name,page_slug,player_id,player_main_handle,player_known_by,player_link_confidence,player_link_evidence_id,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,has_whois_display,has_colour_whois,whois_display_html_path,whois_display_text_path,whois_capture_id,whois_capture_quality,mention_count,mention_high_confidence_count,mention_matched_known_count,mention_type_summary,mention_preview,has_ascii_art,ascii_art_count,best_ascii_art_score,group_candidate_count,group_candidate_confidence_summary,classification_review_needed,page_review_needed
char_voile,Voile,voile,player_0096,Voile,Voile,medium,evidence_player_group_0096,Maia,,Immortals,high,,,,,,,,,,,Maia,M,,immortal,yes,yes,data/evidence/whois_display/html/voile.html,data/evidence/whois_display/text/voile.txt,mha:voile:1780917150:3a348d38,high,0,0,0,,,no,0,,0,,no,no
char_vold,Vold,vold,player_0188,Aiele,Aiele [Joel],medium,evidence_player_group_0188,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_voltron,Voltron,voltron,player_0088,Bulldozer,Bulldozer,medium,evidence_player_group_0088,Troll,Mountain Troll,Minions of Sauron,high,Warrior,Warrior,Warrior,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/voltron.html,data/evidence/whois_display/text/voltron.txt,mha:voltron:1780917161:56fed9a4,high,0,0,0,,,no,0,,0,,no,no
char_vorne,Vorne,vorne,player_0116,Kazeena,Kazeena,medium,evidence_player_group_0116,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_vortex,Vortex,vortex,player_0126,Deris,Deris,medium,evidence_player_group_0126,Troll,Mountain Troll,Minions of Sauron,high,Warrior,Warrior,Warrior,medium,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vortex.html,data/evidence/whois_display/text/vortex.txt,mha:vortex:1780917172:7658c510,high,0,0,0,,,no,0,,0,,no,no
char_vradul,Vradul,vradul,player_0075,Bjorn,Bjorn [Bjorn],medium,evidence_player_group_0075,Dwarf,,Free Peoples,medium,General,General,Ranger,medium,High Track; exact requirement uncertain and probably not 100%+,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/vradul.html,data/evidence/whois_display/text/vradul.txt,mha:vradul:1780917178:f16eb04c,high,0,0,0,,,no,0,,0,,no,no
char_vral,Vral,vral,player_0074,Tardeer,Tardeer [Silverberg],medium,evidence_player_group_0074,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_vrede,Vrede,vrede,player_0060,Amandil,Amandil,medium,evidence_player_group_0060,Hobbit,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/vrede.html,data/evidence/whois_display/text/vrede.txt,mha:vrede:1780917189:a73c90bc,high,0,0,0,,,no,0,,0,,no,no
char_vridush,Vridush,vridush,player_0010,Zaber,Zaber,medium,evidence_player_group_0010,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/vridush.html,data/evidence/whois_display/text/vridush.txt,mha:vridush:1780917195:905420f2,high,0,0,0,,,no,0,,0,,no,no
char_vr_sh,Vr�sh,vr-sh,player_0154,Bishn�k,Bishn�k [Eric],medium,evidence_player_group_0154,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_vsevolod,Vsevolod,vsevolod,player_0195,Porien,Porien [Dmitry],medium,evidence_player_group_0195,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/vsevolod.html,data/evidence/whois_display/text/vsevolod.txt,mha:vsevolod:1780917206:7c638d64,high,0,0,0,,,no,0,,0,,no,no
char_vugluskr,Vugluskr,vugluskr,player_0190,Gray,Gray [Gray],medium,evidence_player_group_0190,Dwarf,,Free Peoples,medium,Warrior,Warrior,Battlemaster,high,,,,,,,,,,classified,yes,no,data/evidence/whois_display/html/vugluskr.html,data/evidence/whois_display/text/vugluskr.txt,,,0,0,0,,,no,0,,0,,no,no
char_vulgar,Vulgar,vulgar,player_0111,Aram,Aram,medium,evidence_player_group_0111,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_waba,Waba,waba,player_0168,Linar,Linar,medium,evidence_player_group_0168,Vala,,Immortals,high,,,,,,,,,,,Arata,A,,immortal,yes,yes,data/evidence/whois_display/html/waba.html,data/evidence/whois_display/text/waba.txt,mha:waba:1780917217:cedc7e87,high,0,0,0,,,no,0,,0,,no,no
char_wacka,Wacka,wacka,player_0075,Bjorn,Bjorn [Bjorn],medium,evidence_player_group_0075,Troll,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/wacka.html,data/evidence/whois_display/text/wacka.txt,mha:wacka:1780917223:439b2c49,high,0,0,0,,,no,0,,0,,no,no
char_wacker,Wacker,wacker,player_0222,Mukami,Mukami,medium,evidence_player_group_0222,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_warren,Warren,warren,player_0054,Deor,Deor,medium,evidence_player_group_0054,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/warren.html,data/evidence/whois_display/text/warren.txt,mha:warren:1780917234:e131b645,high,0,0,0,,,no,0,,0,,no,no
char_warzur,Warzur,warzur,player_0029,Faint,Faint,medium,evidence_player_group_0029,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_watar,Watar,watar,player_0065,Wryak,Wryak [Tapio],medium,evidence_player_group_0065,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wenom,Wenom,wenom,player_0029,Faint,Faint,medium,evidence_player_group_0029,Orc,Tarkhnarb,Minions of Sauron,high,Thief,Thief,Assassin,high,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/wenom.html,data/evidence/whois_display/text/wenom.txt,mha:wenom:1780917251:78709f58,high,0,0,0,,,no,0,,0,,no,no
char_wert,Wert,wert,player_0033,Ginlon,Ginlon,medium,evidence_player_group_0033,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wes,Wes,wes,player_0084,Kakarot,Kakarot,medium,evidence_player_group_0084,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
char_wierd,Wierd,wierd,player_0029,Faint,Faint,medium,evidence_player_group_0029,Orc,,Minions of Sauron,high,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/wierd.html,data/evidence/whois_display/text/wierd.txt,mha:wierd:1780962056:2dd8fa1c,high,2,0,0,quoted_speaker:2,Sauron,no,0,,0,,no,yes
char_wilma,Wilma,wilma,player_0074,Tardeer,Tardeer [Silverberg],medium,evidence_player_group_0074,Troll,Hill Troll,Minions of Sauron,high,,,Softskin,low,,,,,,,,,,generic_title_no_class,yes,yes,data/evidence/whois_display/html/wilma.html,data/evidence/whois_display/text/wilma.txt,mha:wilma:1780917273:a934dabc,high,0,0,0,,,no,0,,0,,no,no
char_wind,Wind,wind,player_0028,Enforcer,Enforcer [Ert],medium,evidence_player_group_0028,Orc,Tarkhnarb,Minions of Sauron,high,Warrior,Warrior,Veteran,high,,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/wind.html,data/evidence/whois_display/text/wind.txt,mha:wind:1780917279:525ee618,high,0,0,0,,,no,0,,0,,no,no
char_winnie,Winnie,winnie,player_0139,Naga,Naga,medium,evidence_player_group_0139,Man,Beorning,Free Peoples,medium,Warrior,Warrior,Battlemistress,high,,,,,female,high,,,,classified,yes,yes,data/evidence/whois_display/html/winnie.html,data/evidence/whois_display/text/winnie.txt,mha:winnie:1780917285:2b265f0d,high,0,0,0,,,no,0,,0,,no,no
char_winzy,Winzy,winzy,player_0077,Winzy,Winzy [Oscar],medium,evidence_player_group_0077,Man,,Free Peoples,medium,,,,,,,,,,,,,,race_only,yes,yes,data/evidence/whois_display/html/winzy.html,data/evidence/whois_display/text/winzy.txt,mha:winzy:1780917290:2b93c139,high,0,0,0,,,no,0,,0,,no,no
char_wobbit,Wobbit,wobbit,player_0157,Dorolff,Dorolff,medium,evidence_player_group_0157,Hobbit,Harfoot,Free Peoples,medium,Cleric,Cleric,Priestess,high,,,,,female,high,,,,classified,yes,yes,data/evidence/whois_display/html/wobbit.html,data/evidence/whois_display/text/wobbit.txt,mha:wobbit:1780917296:c21f1fce,high,0,0,0,,,no,0,,0,,no,no
char_woe,Woe,woe,player_0001,Rogon,Rogon,medium,evidence_player_group_0001,Orc,Tarkhnarb,Minions of Sauron,high,General,General,Rider,medium,90% Ride,,,,,,,,,classified,yes,yes,data/evidence/whois_display/html/woe.html,data/evidence/whois_display/text/woe.txt,mha:woe:1780917301:1187ec31,high,0,0,0,,,no,0,,0,,no,no
char_woitkah,Woitkah,woitkah,player_0095,Haista,Haista,medium,evidence_player_group_0095,,,,,,,,,,,,,,,,,,no_whois_classification,no,no,,,,,0,0,0,,,no,0,,0,,yes,yes
