character_id,character_name,derived_gender,derived_gender_confidence,source_descriptor,derived_race,derived_faction,derived_base_class,derived_class_title,classification_status,classification_notes,review_needed
char_monet,Monet,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_morgil,Morgil,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mrazik,Mrazik,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mruah,Mruah,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_mrwhite,Mrwhite,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_muhugar,Muhugar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_muhv,Muhv,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_murdress,Murdress,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_murghaz,Murghaz,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_murumutt,Murumutt,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_naed,Naed,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_naghar,Naghar,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nain,Nain,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nali,Nali,unknown,,Stoor Adventurer,Hobbit,Free Peoples,,Adventurer,generic_title_no_class,race_term=Stoor | class_title=Adventurer | base_class_unknown,no
char_namo,Namo,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nardhal,Nardhal,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_naredhel,Naredhel,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_narf,Narf,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_naroc,Naroc,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_narttu,Narttu,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nat,Nat,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nazghul,Nazghul,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nazgoroth,Nazgoroth,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nazgum,Nazgum,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nestha,Nestha,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_neverborn,Neverborn,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_neziel,Neziel,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_niflam,Niflam,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nigal,Nigal,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_niilit,Niilit,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nimir,Nimir,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nimraphel,Nimraphel,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nogir,Nogir,unknown,,warrior. is a level fifty-six Orkish Champion,Orc,Minions of Sauron,Warrior,Champion,parser_suspect_or_custom_descriptor,race_term=Orkish | class_title=Champion | unmatched=warrior. is a level fifty-six,yes
char_nogon,Nogon,unknown,,Dúnadan Adventurer,Man,Free Peoples,,Adventurer,generic_title_no_class,race_term=Dúnadan | class_title=Adventurer | base_class_unknown,no
char_norrland,Norrland,unknown,,Tarkhnarb Snaga,Orc,Minions of Sauron,,Snaga,generic_title_no_class,race_term=Tarkhnarb | class_title=Snaga | base_class_unknown,no
char_nothing,Nothing,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nuri,Nuri,unknown,,,,,,,no_whois_classification,No classification row found,yes
char_nushenak,Nushenak,unknown,,,,,,,no_whois_classification,No classification row found,yes
