character_id,character_name,player_main_handle,player_known_by,derived_race,derived_faction,derived_base_class,derived_gender,classification_status,has_whois_display,has_colour_whois,mention_count,group_candidate_count,classification_review_needed,page_review_needed,page_slug
char_bishn_k,Bishn�k,Bishn�k,Bishn�k [Eric],,,,,no_whois_classification,no,no,0,0,yes,yes,bishn-k
char_bjorn,Bjorn,Bjorn,Bjorn [Bjorn],,,,,no_whois_classification,no,no,0,0,yes,yes,bjorn
char_blackthorne,Blackthorne,Fingeror,Fingeror [Jocke],,,,,no_whois_classification,no,no,0,0,yes,yes,blackthorne
char_blizzardo,Blizzardo,Voile,Voile,,,,,no_whois_classification,no,no,0,0,yes,yes,blizzardo
char_bloha,Bloha,Helga,Helga [Aleks],,,,,no_whois_classification,no,no,0,0,yes,yes,bloha
char_blysk,Blysk,Lothlori,Lothlori,,,,,no_whois_classification,no,no,0,0,yes,yes,blysk
char_bogodur,Bogodur,Rabarbar,Rabarbar [Mihail],,,,,no_whois_classification,no,no,0,0,yes,yes,bogodur
char_bohemond,Bohemond,Haazheel,Haazheel,,,,,no_whois_classification,no,no,0,0,yes,yes,bohemond
char_bok,Bok,Jones,Jones,,,,,no_whois_classification,no,no,0,0,yes,yes,bok
char_bomir,Bomir,Alweon,Alweon,,,,,no_whois_classification,no,no,0,0,yes,yes,bomir
char_borek,Borek,Axel,Axel [Axel],,,,,no_whois_classification,no,no,0,0,yes,yes,borek
char_borgash,Borgash,Angrenfea,Angrenfea [Toivo],,,,,no_whois_classification,no,no,0,0,yes,yes,borgash
char_boroda,Boroda,Boroda,Boroda,,,,,no_whois_classification,no,no,0,0,yes,yes,boroda
char_bounty,Bounty,Bounty,Bounty,,,,,no_whois_classification,no,no,0,0,yes,yes,bounty
char_braddock,Braddock,Kenzu,Kenzu,,,,,no_whois_classification,no,no,0,0,yes,yes,braddock
char_bramba,Bramba,Agattax,Agattax [Robin],,,,,no_whois_classification,no,no,0,0,yes,yes,bramba
char_brugan,Brugan,Axel,Axel [Axel],,,,,no_whois_classification,no,no,0,0,yes,yes,brugan
char_buliwyf,Buliwyf,Ajax,Ajax,,,,,no_whois_classification,no,no,0,0,yes,yes,buliwyf
char_burok,Burok,Steele,Steele [Dan],,,,,no_whois_classification,no,no,0,0,yes,yes,burok
char_byleist,Byleist,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,byleist
char_cagim,Cagim,Heldo,Heldo [Jens],,,,,no_whois_classification,no,no,0,0,yes,yes,cagim
char_caldor,Caldor,Elrik,Elrik,,,,,no_whois_classification,no,no,0,0,yes,yes,caldor
char_caman,Caman,Alantir,Alantir,,,,,no_whois_classification,no,no,0,0,yes,yes,caman
char_caolin,Caolin,Aris,Aris,,,,,no_whois_classification,no,no,0,0,yes,yes,caolin
char_carniminimmiel,Carniminimmiel,Ajax,Ajax,,,,,no_whois_classification,no,no,0,0,yes,yes,carniminimmiel
char_celegrim,Celegrim,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,celegrim
char_celo,Celo,Celo,Celo,,,,,no_whois_classification,no,no,0,0,yes,yes,celo
char_celorfilas,Celorfilas,Dragor,Dragor,,,,,no_whois_classification,no,no,0,0,yes,yes,celorfilas
char_celt,Celt,Vaab,Vaab [Joey],,,,,no_whois_classification,no,no,0,0,yes,yes,celt
char_cenedra,Cenedra,Beltira,Beltira [Erik],,,,,no_whois_classification,no,no,0,0,yes,yes,cenedra
char_cerion,Cerion,Cano,Cano [Tanel],,,,,no_whois_classification,no,no,0,0,yes,yes,cerion
char_cerleg,Cerleg,Cerleg,Cerleg [Alex],,,,,no_whois_classification,no,no,0,0,yes,yes,cerleg
char_cervotoc,Cervotoc,Bubla,Bubla,,,,,no_whois_classification,no,no,0,0,yes,yes,cervotoc
char_chang,Chang,Saeth,Saeth [Wojtek],,,,,no_whois_classification,no,no,0,0,yes,yes,chang
char_chelios,Chelios,Sabadon,Sabadon,,,,,no_whois_classification,no,no,0,0,yes,yes,chelios
char_chikarhayshi,Chikarhayshi,Auriane,Auriane [Bob],,,,,no_whois_classification,no,no,0,0,yes,yes,chikarhayshi
char_chogall,Chogall,Atlas,Atlas,,,,,no_whois_classification,no,no,0,0,yes,yes,chogall
char_ciluras,Ciluras,Goretongue,Goretongue [Jeremiah],,,,,no_whois_classification,no,no,0,0,yes,yes,ciluras
char_cilya,Cilya,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,cilya
char_cinsovinsh,Cinsovinsh,Bounty,Bounty,,,,,no_whois_classification,no,no,0,0,yes,yes,cinsovinsh
char_cootafides,Cootafides,Temegl,Temegl,,,,,no_whois_classification,no,no,0,0,yes,yes,cootafides
char_cotc,Cotc,Delfi,Delfi [Per],,,,,no_whois_classification,no,no,0,0,yes,yes,cotc
char_curufinwe,Curufinwe,Feagil,Feagil,,,,,no_whois_classification,no,no,0,0,yes,yes,curufinwe
char_cyclaw,Cyclaw,Sloo,Sloo,,,,,no_whois_classification,no,no,0,0,yes,yes,cyclaw
char_daalil,Daalil,Temegl,Temegl,,,,,no_whois_classification,no,no,0,0,yes,yes,daalil
char_daevia,Daevia,Daevia,Daevia,,,,,no_whois_classification,no,no,0,0,yes,yes,daevia
char_dalmorg,Dalmorg,Nardhal,Nardhal,,,,,no_whois_classification,no,no,0,0,yes,yes,dalmorg
char_daren,Daren,Daren,Daren,,,,,no_whois_classification,no,no,0,0,yes,yes,daren
char_darkwind,Darkwind,Heldo,Heldo [Jens],,,,,no_whois_classification,no,no,0,0,yes,yes,darkwind
char_darq,Darq,Auriane,Auriane [Bob],,,,,no_whois_classification,no,no,0,0,yes,yes,darq
char_delandir,Delandir,Fisben,Fisben [Gleb],,,,,no_whois_classification,no,no,0,0,yes,yes,delandir
char_delegat,Delegat,Delegat,Delegat,,,,,no_whois_classification,no,no,0,0,yes,yes,delegat
char_delfi,Delfi,Delfi,Delfi [Per],,,,,no_whois_classification,no,no,0,0,yes,yes,delfi
char_delicate,Delicate,Tia,Tia,,,,,no_whois_classification,no,no,0,0,yes,yes,delicate
char_demsie,Demsie,Kazeena,Kazeena,,,,,no_whois_classification,no,no,0,0,yes,yes,demsie
char_deor,Deor,Deor,Deor,,,,,no_whois_classification,no,no,0,0,yes,yes,deor
char_deris,Deris,Deris,Deris,,,,,no_whois_classification,no,no,0,0,yes,yes,deris
char_dharazor,Dharazor,Voile,Voile,,,,,no_whois_classification,no,no,0,0,yes,yes,dharazor
char_dif,Dif,Hoho,Hoho,,,,,no_whois_classification,no,no,0,0,yes,yes,dif
char_domine,Domine,Basha,Basha,,,,,no_whois_classification,no,no,0,0,yes,yes,domine
char_done,Done,Nardhal,Nardhal,,,,,no_whois_classification,no,no,0,0,yes,yes,done
char_dorak,Dorak,Wryak,Wryak [Tapio],,,,,no_whois_classification,no,no,0,0,yes,yes,dorak
char_dracul,Dracul,Edvard,Edvard [Aron],,,,,no_whois_classification,no,no,0,0,yes,yes,dracul
char_dragg,Dragg,Edvard,Edvard [Aron],,,,,no_whois_classification,no,no,0,0,yes,yes,dragg
char_draggor,Draggor,Draggor,Draggor,,,,,no_whois_classification,no,no,0,0,yes,yes,draggor
char_draghkar,Draghkar,Tear,Tear,,,,,no_whois_classification,no,no,0,0,yes,yes,draghkar
