character_id,character_name,player_id,player_main_handle,player_known_by,player_real_name,player_link_type,player_link_status,player_link_confidence,player_link_evidence_id,player_link_notes,immortal_list_status,immortal_list_category,is_maiar_muddler,honorary_immortal,immortal_list_source_id,immortal_list_source_name,immortal_list_source_date_context,immortal_list_evidence_id,immortal_list_review_status,immortal_list_notes,source_whois_id,source_descriptor,derived_race,derived_subrace,derived_faction,derived_faction_confidence,derived_base_class,derived_who_class_group,derived_class_title,derived_class_confidence,derived_class_skill_notes,derived_class_level_restriction_notes,derived_class_race_restriction_notes,derived_class_alignment_restriction_notes,derived_gender,derived_gender_confidence,derived_immortal_rank,derived_immortal_code,derived_immortal_role,classification_status,classification_notes,candidate_whois_rows,review_needed
char_alkar,Alkar,player_0017,Alkar,Alkar,,listed_same_player,accepted,medium,evidence_player_group_0017,,retired,Vala,no,no,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,immortal_2026_06_16_retired_immortals_alkar_17_listed_retired_immortal,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.,whois_alkar_1780899270,Vala,Vala,,Immortals,high,Mudller,Mudller,Mudller,high,,,,,,,Vala,V,Mudller,immortal,immortal_term=Vala | race_term=Vala,2,no
char_almarian,Almarian,,,,,,,,,,current,Maia,no,no,2026_06_16_current_immortals,MUME current immortal list,List current as of 2026-06-16,immortal_2026_06_16_current_immortals_almarian_17_listed_current_immortal,candidate,Copied by Lewis. (+m) means the immortal is also a Maiar Muddler / muddle code contributor.,whois_almarian_1780899276,Maia,Maia,,Immortals,high,Shaper,Shaper,Shaper,high,,,,,,,Maia,M,Shaper,immortal,immortal_term=Maia | race_term=Maia,1,no
char_alvedon,Alvedon,player_0010,Zaber,Zaber,,listed_same_player,accepted,medium,evidence_player_group_0010,,,,,,,,,,,,whois_alvedon_1780899281,Sindarin Witch,Elf,Sindarin,Free Peoples,medium,Magic-user,Magic-user,Witch,high,,,,,female,high,,,,classified,race_term=Sindarin | class_title=Witch | who_class_group=Magic-user | class_confidence=high,1,no
char_alweon,Alweon,player_0026,Alweon,Alweon,,listed_same_player,accepted,medium,evidence_player_group_0026,,,,,,,,,,,,whois_alwëon_1780899287,Noldorin Sage,Elf,Noldorin,Free Peoples,medium,Magic-user,Magic-user,Sage,high,,,,,,,,,,classified,race_term=Noldorin | class_title=Sage | who_class_group=Magic-user | class_confidence=high,1,no
char_amandil,Amandil,player_0060,Amandil,Amandil,,listed_same_player,accepted,medium,evidence_player_group_0060,,retired,Vala,no,no,2026_06_16_retired_immortals,MUME retired immortal list,List current as of 2026-06-16,immortal_2026_06_16_retired_immortals_amandil_41_listed_retired_immortal,candidate,Copied by Lewis. Includes Boardreaders and honorary True Legend entry for Norsu.,whois_amandil_1780899292,Vala,Vala,,Immortals,high,Architect,Architect,Architect,high,,,,,,,Vala,V,Architect,immortal,immortal_term=Vala | race_term=Vala,2,no
char_amantest,Amantest,player_0060,Amandil,Amandil,,listed_same_player,accepted,medium,evidence_player_group_0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_whois_classification,No classification row found,0,yes
char_amarant,Amarant,player_0126,Deris,Deris,,listed_same_player,accepted,medium,evidence_player_group_0126,,,,,,,,,,,,whois_amarant_1780899303,Half-elven Champion,Half-Elf,,Free Peoples,medium,General,General,Champion,medium,,,,,,,,,,classified,race_term=Half-elven | class_title=Champion | who_class_group=General | class_confidence=medium,1,no
char_amarie,Amarie,player_0046,Filibert,Filibert,,listed_same_player,accepted,medium,evidence_player_group_0046,,,,,,,,,,,,whois_amàrië_1780899309,Elf,Elf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Elf | base_class_unknown,1,no
char_ambolt,Ambolt,player_0054,Deor,Deor,,listed_same_player,accepted,medium,evidence_player_group_0054,,,,,,,,,,,,whois_ambolt_1780899314,Dwarf,Dwarf,,Free Peoples,medium,,,,,,,,,,,,,,race_only,race_term=Dwarf | base_class_unknown,1,no
char_amdir,Amdir,player_0058,Steele,Steele [Dan],Dan,listed_same_player,accepted,medium,evidence_player_group_0058,,,,,,,,,,,,whois_amdír_1780899320,Sindarin Hunter,Elf,Sindarin,Free Peoples,medium,Thief,Thief,Hunter,medium,,,,,,,,,,classified,race_term=Sindarin | class_title=Hunter | who_class_group=Thief | class_confidence=medium,1,no
