character_key,first_source_id,immortal_statuses,immortal_categories,is_maiar_muddler,honorary_immortal,reason,review_status
Elistan,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Elithrandir,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ellessar,2026_06_16_current_immortals,current,Maiar,yes,no,immortal_list_2026_06_16,candidate
Elvis,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Emcas,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ender,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Endo,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Endor,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Enerdhil,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Enforcer,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ennui,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Eolung,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Eoras,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Eporedax,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Erach,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Erat,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Erekosë,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Erent,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Erg,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Erika,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Erios,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Erl,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Eru,2026_06_16_current_immortals,current,Implementors,no,no,immortal_list_2026_06_16,candidate
Esen,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Estike,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Evandaar,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Everminda,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Eärendel,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Eärendil,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Eönwe,2026_06_16_retired_immortals,retired,Valar,no,no,immortal_list_2026_06_16,candidate
Faeythe,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Faint,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Fakhr,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Falch,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Faloth,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
Fankil,2026_06_16_current_immortals,current,Maiar,no,no,immortal_list_2026_06_16,candidate
Farin,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Fastdanr,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Fed,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Felbad,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Fenderjaguar,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Feon,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ferguson,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Feri,2026_06_16_retired_immortals,retired,Boardreaders,no,no,immortal_list_2026_06_16,candidate
Ferumbras,2026_06_16_retired_immortals,retired,Maiar,no,no,immortal_list_2026_06_16,candidate
