source_id,immortal_status,immortal_category,character_key,display_name,is_maiar_muddler,honorary_immortal,evidence_kind,source_order,review_status,notes
2026_06_16_retired_immortals,retired,Maiar,Barney,Barney,no,no,listed_retired_immortal,213,candidate,
2026_06_16_retired_immortals,retired,Maiar,Becha,Becha,no,no,listed_retired_immortal,214,candidate,
2026_06_16_retired_immortals,retired,Maiar,Belenos,Belenos,no,no,listed_retired_immortal,215,candidate,
2026_06_16_retired_immortals,retired,Maiar,Beregond,Beregond,no,no,listed_retired_immortal,216,candidate,
2026_06_16_retired_immortals,retired,Maiar,Caerroil,Caerroil,no,no,listed_retired_immortal,217,candidate,
2026_06_16_retired_immortals,retired,Maiar,Chauncey,Chauncey,no,no,listed_retired_immortal,218,candidate,
2026_06_16_retired_immortals,retired,Maiar,Chavez,Chavez,no,no,listed_retired_immortal,219,candidate,
2026_06_16_retired_immortals,retired,Maiar,Conklin,Conklin,no,no,listed_retired_immortal,220,candidate,
2026_06_16_retired_immortals,retired,Maiar,Daemor,Daemor,no,no,listed_retired_immortal,221,candidate,
2026_06_16_retired_immortals,retired,Maiar,Dardhel,Dardhel,no,no,listed_retired_immortal,222,candidate,
2026_06_16_retired_immortals,retired,Maiar,Degolas,Degolas,no,no,listed_retired_immortal,223,candidate,
2026_06_16_retired_immortals,retired,Maiar,Djinn,Djinn,no,no,listed_retired_immortal,224,candidate,
2026_06_16_retired_immortals,retired,Maiar,Donutello,Donutello,no,no,listed_retired_immortal,225,candidate,
2026_06_16_retired_immortals,retired,Maiar,Drugar,Drugar,no,no,listed_retired_immortal,226,candidate,
2026_06_16_retired_immortals,retired,Maiar,Eärendel,Eärendel,no,no,listed_retired_immortal,227,candidate,
2026_06_16_retired_immortals,retired,Maiar,Elerrína,Elerrína,no,no,listed_retired_immortal,228,candidate,
2026_06_16_retired_immortals,retired,Maiar,Elvis,Elvis,no,no,listed_retired_immortal,229,candidate,
2026_06_16_retired_immortals,retired,Maiar,Erent,Erent,no,no,listed_retired_immortal,230,candidate,
2026_06_16_retired_immortals,retired,Maiar,Erg,Erg,no,no,listed_retired_immortal,231,candidate,
2026_06_16_retired_immortals,retired,Maiar,Fakhr,Fakhr,no,no,listed_retired_immortal,232,candidate,
2026_06_16_retired_immortals,retired,Maiar,Falch,Falch,no,no,listed_retired_immortal,233,candidate,
2026_06_16_retired_immortals,retired,Maiar,Faloth,Faloth,no,no,listed_retired_immortal,234,candidate,
2026_06_16_retired_immortals,retired,Maiar,Fëagil,Fëagil,no,no,listed_retired_immortal,235,candidate,
2026_06_16_retired_immortals,retired,Maiar,Filmus,Filmus,no,no,listed_retired_immortal,236,candidate,
2026_06_16_retired_immortals,retired,Maiar,Firebolt,Firebolt,no,no,listed_retired_immortal,237,candidate,
2026_06_16_retired_immortals,retired,Maiar,Foobitz,Foobitz,no,no,listed_retired_immortal,238,candidate,
2026_06_16_retired_immortals,retired,Maiar,Foroil,Foroil,no,no,listed_retired_immortal,239,candidate,
2026_06_16_retired_immortals,retired,Maiar,Fredde,Fredde,no,no,listed_retired_immortal,240,candidate,
2026_06_16_retired_immortals,retired,Maiar,Freyja,Freyja,no,no,listed_retired_immortal,241,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gathen,Gathen,no,no,listed_retired_immortal,242,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gnomette,Gnomette,no,no,listed_retired_immortal,243,candidate,
2026_06_16_retired_immortals,retired,Maiar,Gríma,Gríma,no,no,listed_retired_immortal,244,candidate,
