link_id,player_id,character_id,character_name,main_handle,link_type,status,confidence,primary_evidence_id,notes
link_01341,player_0159,char_beorel,Beorel,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01342,player_0159,char_elenwe,Elenwe,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01343,player_0159,char_erowyn,Erowyn,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01344,player_0159,char_gauruk,Gauruk,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01345,player_0159,char_gimilzor,Gimilzor,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01346,player_0159,char_glader,Glader,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01347,player_0159,char_imlis,Imlis,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01348,player_0159,char_qiuram,Qiuram,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01349,player_0159,char_ulkaar,Ulkaar,Beorel,listed_same_player,accepted,medium,evidence_player_group_0159,
link_01350,player_0160,char_krax,Krax,Krax,listed_same_player,accepted,medium,evidence_player_group_0160,
link_01351,player_0160,char_rentera,Rentera,Krax,listed_same_player,accepted,medium,evidence_player_group_0160,
link_01352,player_0161,char_halir,Halir,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01353,player_0161,char_belzedin,Belzedin,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01354,player_0161,char_elemur,Elemur,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01355,player_0161,char_gimlung,Gimlung,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01356,player_0161,char_glamduril,Glamduril,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01357,player_0161,char_mengaz,Mengaz,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01358,player_0161,char_mojo,Mojo,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01359,player_0161,char_rumble,Rumble,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01360,player_0161,char_slobber,Slobber,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01361,player_0161,char_theofur,Theofur,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01362,player_0161,char_uber,Uber,Halir,listed_same_player,accepted,medium,evidence_player_group_0161,
link_01363,player_0162,char_hudson,Hudson,Hudson,listed_same_player,accepted,medium,evidence_player_group_0162,
link_01364,player_0162,char_bimulo,Bimulo,Hudson,listed_same_player,accepted,medium,evidence_player_group_0162,
link_01365,player_0162,char_sharg,Sharg,Hudson,listed_same_player,accepted,medium,evidence_player_group_0162,
link_01366,player_0163,char_leave,Leave,Leave,listed_same_player,accepted,medium,evidence_player_group_0163,
link_01367,player_0163,char_alfo,Alfo,Leave,listed_same_player,accepted,medium,evidence_player_group_0163,
link_01368,player_0164,char_gobakapp,Gobakapp,Gobakapp,listed_same_player,accepted,medium,evidence_player_group_0164,
link_01369,player_0164,char_gena,Gena,Gobakapp,listed_same_player,accepted,medium,evidence_player_group_0164,
link_01370,player_0164,char_turim,Turim,Gobakapp,listed_same_player,accepted,medium,evidence_player_group_0164,
link_01371,player_0165,char_athela,Athela,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01372,player_0165,char_cymoril,Cymoril,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01373,player_0165,char_killdare,Killdare,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01374,player_0165,char_morbet,Morbet,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01375,player_0165,char_mruah,Mruah,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01376,player_0165,char_pontiac,Pontiac,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01377,player_0165,char_popeye,Popeye,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01378,player_0165,char_rumptsais,Rumptsais,Athela,listed_same_player,accepted,medium,evidence_player_group_0165,
link_01379,player_0166,char_bodhran,Bodhran,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01380,player_0166,char_boot,Boot,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01381,player_0166,char_cryl,Cryl,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
link_01382,player_0166,char_cylas,Cylas,Bodhran,listed_same_player,accepted,medium,evidence_player_group_0166,
