character_name,character_id,already_checked,priority,notes
Burzum,char_burzum,true,normal,whois imported from Mudlet archive
Butrus,char_butrus,true,normal,whois imported from Mudlet archive
Butter,char_butter,true,normal,whois imported from Mudlet archive
Byleist,char_byleist,true,normal,whois returned no extant character information in MUME
Cagim,char_cagim,true,normal,whois returned no extant character information in MUME
Calan,char_calan,true,normal,whois imported from Mudlet archive
Caldor,char_caldor,true,normal,whois returned no extant character information in MUME
Calrandir,char_calrandir,true,normal,whois imported from Mudlet archive
Calvin,char_calvin,true,normal,whois imported from Mudlet archive
Caman,char_caman,true,normal,whois imported from Mudlet archive
Candid,char_candid,true,normal,whois imported from Mudlet archive
Cano,char_cano,true,normal,whois imported from Mudlet archive
Caolin,char_caolin,true,normal,whois returned no extant character information in MUME
Capiche,char_capiche,true,normal,whois imported from Mudlet archive
Carak,char_carak,true,normal,whois imported from Mudlet archive
Caress,char_caress,true,normal,whois imported from Mudlet archive
Carib,char_carib,true,normal,whois imported from Mudlet archive
Carl,char_carl,true,normal,whois imported from Mudlet archive
Carniminimmiel,char_carniminimmiel,true,normal,whois returned no extant character information in MUME
Casque,char_casque,true,normal,whois imported from Mudlet archive
Cavalera,char_cavalera,true,normal,whois imported from Mudlet archive
Cele,char_cele,true,normal,whois imported from Mudlet archive
Celedon,char_celedon,true,normal,whois imported from Mudlet archive
Celegrim,char_celegrim,true,normal,whois returned no extant character information in MUME
Celo,char_celo,true,normal,whois returned no extant character information in MUME
Celorfilas,char_celorfilas,true,normal,whois imported from Mudlet archive
Celt,char_celt,true,normal,whois returned no extant character information in MUME
Cen,char_cen,true,normal,whois imported from Mudlet archive
Cenedra,char_cenedra,true,normal,whois imported from Mudlet archive
Centurion,char_centurion,true,normal,whois imported from Mudlet archive
Cerion,char_cerion,true,normal,whois imported from Mudlet archive
Cerleg,char_cerleg,true,normal,whois returned no extant character information in MUME
Cervotoc,char_cervotoc,true,normal,whois returned no extant character information in MUME
Chak,char_chak,true,normal,whois imported from Mudlet archive
Chang,char_chang,true,normal,whois returned no extant character information in MUME
Chauncey,char_chauncey,true,normal,whois imported from Mudlet archive
Chavez,char_chavez,true,normal,whois imported from Mudlet archive
Chazan,char_chazan,true,normal,whois imported from Mudlet archive
Chelios,char_chelios,true,normal,whois imported from Mudlet archive
Chen,char_chen,true,normal,whois imported from Mudlet archive
Cherish,char_cherish,true,normal,whois imported from Mudlet archive
Chewer,char_chewer,true,normal,whois imported from Mudlet archive
Chikarhayshi,char_chikarhayshi,true,normal,whois returned no extant character information in MUME
Chogall,char_chogall,true,normal,whois imported from Mudlet archive
Chudwicki,char_chudwicki,true,normal,whois imported from Mudlet archive
Cidar,char_cidar,true,normal,whois imported from Mudlet archive
Ciluras,char_ciluras,true,normal,whois imported from Mudlet archive
Cilya,char_cilya,true,normal,whois returned no extant character information in MUME
Cinsovinsh,char_cinsovinsh,true,normal,whois returned no extant character information in MUME
Ciryatan,char_ciryatan,true,normal,whois imported from Mudlet archive
Clangedin,char_clangedin,true,normal,whois imported from Mudlet archive
Clericii,char_clericii,true,normal,whois imported from Mudlet archive
Cootafides,char_cootafides,true,normal,whois returned no extant character information in MUME
Core,char_core,true,normal,whois imported from Mudlet archive
Cormac,char_cormac,true,normal,whois imported from Mudlet archive
Corvin,char_corvin,true,normal,whois imported from Mudlet archive
Cotc,char_cotc,true,normal,whois returned no extant character information in MUME
Cruel,char_cruel,true,normal,whois imported from Mudlet archive
Cruggo,char_cruggo,true,normal,whois imported from Mudlet archive
Cryl,char_cryl,true,normal,whois imported from Mudlet archive
Crysania,char_crysania,true,normal,whois imported from Mudlet archive
Cufdrup,char_cufdrup,true,normal,whois imported from Mudlet archive
Cur,char_cur,true,normal,whois imported from Mudlet archive
Curufin,char_curufin,true,normal,whois imported from Mudlet archive
Curufinwe,char_curufinwe,true,normal,whois imported from Mudlet archive
Cyclaw,char_cyclaw,true,normal,whois returned no extant character information in MUME
Cylas,char_cylas,true,normal,whois imported from Mudlet archive
Cymoril,char_cymoril,true,normal,whois imported from Mudlet archive
Cyrano,char_cyrano,true,normal,whois imported from Mudlet archive
Daalil,char_daalil,true,normal,whois returned no extant character information in MUME
Daddy,char_daddy,true,normal,whois imported from Mudlet archive
Daevia,char_daevia,true,normal,whois returned no extant character information in MUME
Dafur,char_dafur,true,normal,whois imported from Mudlet archive
Dakkon,char_dakkon,true,normal,whois imported from Mudlet archive
Dalamar,char_dalamar,true,normal,whois imported from Mudlet archive
Dalmorg,char_dalmorg,true,normal,whois returned no extant character information in MUME
Danath,char_danath,true,normal,whois imported from Mudlet archive
Danzig,char_danzig,true,normal,whois imported from Mudlet archive
Daren,char_daren,true,normal,whois returned no extant character information in MUME
Darkun,char_darkun,true,normal,whois imported from Mudlet archive
Darkwind,char_darkwind,true,normal,whois returned no extant character information in MUME
Darq,char_darq,true,normal,whois returned no extant character information in MUME
David,char_david,true,normal,whois imported from Mudlet archive
Dax,char_dax,true,normal,whois imported from Mudlet archive
Daz,char_daz,true,normal,whois imported from Mudlet archive
Dazzle,char_dazzle,true,normal,whois imported from Mudlet archive
Deacon,char_deacon,true,normal,whois imported from Mudlet archive
Death,char_death,true,normal,whois imported from Mudlet archive
Deathwind,char_deathwind,true,normal,whois imported from Mudlet archive
Deavon,char_deavon,true,normal,whois imported from Mudlet archive
Decoy,char_decoy,true,normal,whois imported from Mudlet archive
Deedoo,char_deedoo,true,normal,whois imported from Mudlet archive
Deemon,char_deemon,true,normal,whois imported from Mudlet archive
Delandir,char_delandir,true,normal,whois returned no extant character information in MUME
Delegat,char_delegat,true,normal,whois returned no extant character information in MUME
Delfi,char_delfi,true,normal,whois returned no extant character information in MUME
Delicate,char_delicate,true,normal,whois returned no extant character information in MUME
Dell,char_dell,true,normal,whois imported from Mudlet archive
Dement,char_dement,true,normal,whois imported from Mudlet archive
Demsie,char_demsie,true,normal,whois returned no extant character information in MUME
Deor,char_deor,true,normal,whois imported from Mudlet archive
Deris,char_deris,true,normal,whois returned no extant character information in MUME
Desastre,char_desastre,true,normal,whois imported from Mudlet archive
Devastator,char_devastator,true,normal,whois imported from Mudlet archive
Devran,char_devran,true,normal,whois imported from Mudlet archive
Dharazor,char_dharazor,true,normal,whois imported from Mudlet archive
Diamonium,char_diamonium,true,normal,whois imported from Mudlet archive
Dif,char_dif,true,normal,whois returned no extant character information in MUME
Digital,char_digital,true,normal,whois imported from Mudlet archive
Dimmu,char_dimmu,true,normal,whois imported from Mudlet archive
Dino,char_dino,true,normal,whois imported from Mudlet archive
Disembowel,char_disembowel,true,normal,whois imported from Mudlet archive
Dispater,char_dispater,true,normal,whois imported from Mudlet archive
Dizz,char_dizz,true,normal,whois imported from Mudlet archive
Djinn,char_djinn,true,normal,whois imported from Mudlet archive
Dliador,char_dliador,true,normal,whois imported from Mudlet archive
Dodge,char_dodge,true,normal,whois imported from Mudlet archive
Doh,char_doh,true,normal,whois imported from Mudlet archive
Dolengur,char_dolengur,true,normal,whois imported from Mudlet archive
Dolik,char_dolik,true,normal,whois imported from Mudlet archive
Dombur,char_dombur,true,normal,whois imported from Mudlet archive
Domine,char_domine,true,normal,whois returned no extant character information in MUME
Dominic,char_dominic,true,normal,whois imported from Mudlet archive
Done,char_done,true,normal,whois imported from Mudlet archive
Donk,char_donk,true,normal,whois imported from Mudlet archive
Donovan,char_donovan,true,normal,whois imported from Mudlet archive
Donutello,char_donutello,true,normal,whois imported from Mudlet archive
Doomer,char_doomer,true,normal,whois imported from Mudlet archive
Dorak,char_dorak,true,normal,whois returned no extant character information in MUME
Doreth,char_doreth,true,normal,whois imported from Mudlet archive
Dorfl,char_dorfl,true,normal,whois imported from Mudlet archive
Dork,char_dork,true,normal,whois imported from Mudlet archive
Dorolff,char_dorolff,true,normal,whois imported from Mudlet archive
Draaz,char_draaz,true,normal,whois imported from Mudlet archive
Draca,char_draca,true,normal,whois imported from Mudlet archive
Draccon,char_draccon,true,normal,whois imported from Mudlet archive
Dracolich,char_dracolich,true,normal,whois imported from Mudlet archive
Draconis,char_draconis,true,normal,whois imported from Mudlet archive
Dracul,char_dracul,true,normal,whois returned no extant character information in MUME
Dragan,char_dragan,true,normal,whois imported from Mudlet archive
Dragg,char_dragg,true,normal,whois imported from Mudlet archive
Draggor,char_draggor,true,normal,whois returned no extant character information in MUME
Draggy,char_draggy,true,normal,whois imported from Mudlet archive
Draghkar,char_draghkar,true,normal,whois returned no extant character information in MUME
Draglador,char_draglador,true,normal,whois imported from Mudlet archive
Dragor,char_dragor,true,normal,whois imported from Mudlet archive
Dragoth,char_dragoth,true,normal,whois imported from Mudlet archive
Dramon,char_dramon,true,normal,whois imported from Mudlet archive
Dranj,char_dranj,true,normal,whois returned no extant character information in MUME
Draupner,char_draupner,true,normal,whois imported from Mudlet archive
Drax,char_drax,true,normal,whois imported from Mudlet archive
Drayl,char_drayl,true,normal,whois returned no extant character information in MUME
Drazgan,char_drazgan,true,normal,whois returned no extant character information in MUME
Dreamweaver,char_dreamweaver,true,normal,whois imported from Mudlet archive
Drengist,char_drengist,true,normal,whois imported from Mudlet archive
Drenical,char_drenical,true,normal,whois imported from Mudlet archive
Dreth,char_dreth,true,normal,whois returned no extant character information in MUME
Drijian,char_drijian,true,normal,whois imported from Mudlet archive
Drimdul,char_drimdul,true,normal,whois imported from Mudlet archive
Drohm,char_drohm,true,normal,whois imported from Mudlet archive
Drokk,char_drokk,true,normal,whois imported from Mudlet archive
Drow,char_drow,true,normal,whois imported from Mudlet archive
Drugar,char_drugar,true,normal,whois imported from Mudlet archive
Druin,char_druin,true,normal,whois imported from Mudlet archive
Dryg,char_dryg,true,normal,whois imported from Mudlet archive
Dugmok,char_dugmok,true,normal,whois imported from Mudlet archive
Dunlop,char_dunlop,true,normal,whois imported from Mudlet archive
Dural,char_dural,true,normal,whois imported from Mudlet archive
Durandir,char_durandir,true,normal,whois returned no extant character information in MUME
Durcano,char_durcano,true,normal,whois imported from Mudlet archive
Duriel,char_duriel,true,normal,whois imported from Mudlet archive
Durlak,char_durlak,true,normal,whois imported from Mudlet archive
Dushegub,char_dushegub,true,normal,whois imported from Mudlet archive
Duvel,char_duvel,true,normal,whois returned no extant character information in MUME
Dwar,char_dwar,true,normal,whois imported from Mudlet archive
Dwimmer,char_dwimmer,true,normal,whois imported from Mudlet archive
Dwogin,char_dwogin,true,normal,whois imported from Mudlet archive
Dynamit,char_dynamit,true,normal,whois imported from Mudlet archive
Eale,char_eale,true,normal,whois returned no extant character information in MUME
Earand,char_earand,true,normal,whois imported from Mudlet archive
Earnur,char_earnur,true,normal,whois imported from Mudlet archive
Eawian,char_eawian,true,normal,whois returned no extant character information in MUME
Echo,char_echo,true,normal,whois imported from Mudlet archive
Eckhart,char_eckhart,true,normal,whois imported from Mudlet archive
Eder,char_eder,true,normal,whois imported from Mudlet archive
Edrahil,char_edrahil,true,normal,whois imported from Mudlet archive
Edvard,char_edvard,true,normal,whois imported from Mudlet archive
Eggrat,char_eggrat,true,normal,whois imported from Mudlet archive
Eggraz,char_eggraz,true,normal,whois returned no extant character information in MUME
Eher,char_eher,true,normal,whois returned no extant character information in MUME
Ehhe,char_ehhe,true,normal,whois returned no extant character information in MUME
Eidolon,char_eidolon,true,normal,whois imported from Mudlet archive
Eileen,char_eileen,true,normal,whois imported from Mudlet archive
Eirin,char_eirin,true,normal,whois returned no extant character information in MUME
Eladamri,char_eladamri,true,normal,whois imported from Mudlet archive
Elajt,char_elajt,true,normal,whois returned no extant character information in MUME
Elavar,char_elavar,true,normal,whois imported from Mudlet archive
Elaviel,char_elaviel,true,normal,whois imported from Mudlet archive
Elayne,char_elayne,true,normal,whois returned no extant character information in MUME
Eldale,char_eldale,true,normal,whois imported from Mudlet archive
Eldan,char_eldan,true,normal,whois imported from Mudlet archive
Eldarion,char_eldarion,true,normal,whois imported from Mudlet archive
Elden,char_elden,true,normal,whois imported from Mudlet archive
Eldrasil,char_eldrasil,true,normal,whois imported from Mudlet archive
Eldrenil,char_eldrenil,true,normal,whois imported from Mudlet archive
Elebor,char_elebor,true,normal,whois imported from Mudlet archive
Elemur,char_elemur,true,normal,whois returned no extant character information in MUME
Elendur,char_elendur,true,normal,whois imported from Mudlet archive
Elenril,char_elenril,true,normal,whois imported from Mudlet archive
Elenwe,char_elenwe,true,normal,whois imported from Mudlet archive
Elestir,char_elestir,true,normal,whois imported from Mudlet archive
Eletherion,char_eletherion,true,normal,whois imported from Mudlet archive
Elfwyn,char_elfwyn,true,normal,whois imported from Mudlet archive
Elian,char_elian,true,normal,whois imported from Mudlet archive
Elirion,char_elirion,true,normal,whois imported from Mudlet archive
Elistan,char_elistan,true,normal,whois imported from Mudlet archive
Eliwe,char_eliwe,true,normal,whois returned no extant character information in MUME
Ellara,char_ellara,true,normal,whois imported from Mudlet archive
Elle,char_elle,true,normal,whois imported from Mudlet archive
Elleth,char_elleth,true,normal,whois imported from Mudlet archive
Elmir,char_elmir,true,normal,whois imported from Mudlet archive
Elmo,char_elmo,true,normal,whois imported from Mudlet archive
Eloin,char_eloin,true,normal,whois imported from Mudlet archive
Elrik,char_elrik,true,normal,whois imported from Mudlet archive
Elroh,char_elroh,true,normal,whois imported from Mudlet archive
Elrun,char_elrun,true,normal,whois imported from Mudlet archive
Elsurion,char_elsurion,true,normal,whois imported from Mudlet archive
Eluchil,char_eluchil,true,normal,whois imported from Mudlet archive
Elumir,char_elumir,true,normal,whois imported from Mudlet archive
Emroth,char_emroth,true,normal,whois imported from Mudlet archive
Endor,char_endor,true,normal,whois imported from Mudlet archive
Endur,char_endur,true,normal,whois imported from Mudlet archive
Enforcer,char_enforcer,true,normal,whois imported from Mudlet archive
Engelbert,char_engelbert,true,normal,whois imported from Mudlet archive
Ennor,char_ennor,true,normal,whois imported from Mudlet archive
Enso,char_enso,true,normal,whois returned no extant character information in MUME
